is	S
save	SAF
saver	SAFR
savor	SA*FR
czar	SA*R
zoo	SAO*
soar	SAOR
so	SO
sore	SOR
Sr.	S-R
staff	STAF
staph	STA*F
staffer	STAFR
star	STAR
stove	STOF
store	STOR
sister	ST-R
ask	SK
scarf	SKAFR
scar	SKAR
scoff	SKOF
discover	SKOFR
score	SKOR
asker	SK-R
it	T
that	TA
tar	TAR
too	TAO
Tao	TAO*
to	TO
tour	TOR
tore	TO*R
TV	T*F
did	TK
door	TKAOR
do	TKO
dove	TKOF
can	K
cave	KAF
car	KAR
coo	KAO*
cover	KAOFR
could	KO
cough	KOF
cover	KOFR
coffer	KO*FR
core	KOR
after	AF
aver	A*FR
ooh	AO*
oof	AOF
oar	AOR
to	O
off	OF
offer	OFR
or	OR
of	-F
ever	-FR
are	-R
