is	S
save	SAF
saver	SAFR
savor	SA*FR
czar	SA*R
zoo	SAO*
soar	SAOR
sea	SAE
essay	SA*E
satisfy	SAEF
sear	SAER
so	SO
sore	SOR
self	S*EF
sever	SEFR
serf	S*EFR
certificate	SER
Sr.	S-R
staff	STAF
staph	STA*F
staffer	STAFR
star	STAR
satisfy	STAEF
stare	STAER
stove	STOF
store	STOR
sister	ST-R
ask	SK
scarf	SKAFR
scar	SKAR
scary	SKAER
scoff	SKOF
discover	SKOFR
score	SKOR
asker	SK-R
it	T
that	TA
tar	TAR
too	TAO
Tao	TAO*
tea	TAE
active	TAEF
tear	TAER
tare	TA*ER
to	TO
tour	TOR
tore	TO*R
test	TEF
testify	T*EF
TV	T*F
did	TK
door	TKAOR
deaf	TKAEF
dear	TKAER
do	TKO
dove	TKOF
defer	TKEFR
can	K
cave	KAF
car	KAR
coo	KAO*
cover	KAOFR
cay	KA*E
carry	KAER
could	KO
cough	KOF
cover	KOFR
coffer	KO*FR
core	KOR
contraceptive	K*EF
after	AF
aver	A*FR
ooh	AO*
oof	AOF
oar	AOR
avenue	AEF
eave	A*EF
to	O
off	OF
offer	OFR
or	OR
he	E
every	EFR
of	-F
ever	-FR
are	-R
